pop,model,cost_weight,total_model_cost,total_model_latency,accuracy,f1_score
AHL,AHL,1,1927.9574999998465,219033896.27587777,0.3109961595736343,0.4744425180845339
ONL,ONL,1,1269.2444999997483,290888342.21469414,0.7738223998745983,0.6367412703607663
SVML,SVML,1,1909.721399999917,226910522.71085885,0.3199780547064817,0.4691645049189956
SVMR,SVMR,10,1558.6618000000262,278721356.48213047,0.5654988635473,0.5230155042761516
LR,LR,20,1824.8520000000424,245025376.45545468,0.3801708597852496,0.4808581031404264
SVML,SVML,20,1694.635600000032,252988764.95859227,0.4725291950779842,0.5025427236709834
SV-Grid,SV-Grid,20,1263.907599999758,297551637.333401,0.7723802805862529,0.6220753194701091
LR,LR,30,1221.7163999997165,300258497.68625265,0.7949369072811349,0.6188672648875423
SVML,SVML,30,1216.779699999709,307872353.5792721,0.7936672152990046,0.6027463407273276
SVMR,SVMR,40,1213.0597999996887,317170562.17948776,0.7807194921232071,0.5346771779263546
LR,LR,40,1206.393099999686,324829595.0239141,0.7818794576377459,0.5198247006452948
KNN,KNN,50,1407.7731999997864,282893592.8530281,0.6624970608981895,0.536139776375035
